model,perc,instance,nodes,time,sol
efsll1,10,01,399,0.06748775000000001,255.0
efsll1,10,02,284,0.059350707999999974,232.0
efsll1,10,03,442,0.081506417,258.0
efsll1,25,01,918,0.15748424999999994,299.0
efsll1,25,02,106240,0.8806176659999999,287.0
efsll1,25,03,1358,0.2812927089999999,310.0
efsll1,50,01,2826725,25.633005708000002,328.0
efsll1,50,02,383920,4.842761708000005,307.0
efsll1,50,03,2471461,27.082751541999997,245.0
efsll2,10,01,250,0.06433641600000328,255.0
efsll2,10,02,191,0.05410404199999874,232.0
efsll2,10,03,138,0.049538249999997674,258.0
efsll2,25,01,869,0.11854404099999982,299.0
efsll2,25,02,830,0.1863834159999982,287.0
efsll2,25,03,917,0.11888133300000447,310.0
efsll2,50,01,114740,1.776815041000006,328.0
efsll2,50,02,3237,0.8607505000000018,307.0
efsll2,50,03,221352,5.262493624999998,245.0
