model,numitems,perc,instance,nodes,time,sol
efsll1,5,10,01,2,0.039628,135.0
efsll1,5,10,02,2,0.04283370799999997,125.0
efsll1,5,10,03,3,0.029135250000000057,151.0
efsll1,5,25,01,268,0.062796042,150.0
efsll1,5,25,02,409,0.06532616700000005,168.0
efsll1,5,25,03,349,0.06562629200000003,174.0
efsll1,5,50,01,480,0.12592533399999994,183.0
efsll1,5,50,02,446,0.08354279200000003,143.0
efsll1,5,50,03,467,0.129292666,185.0
efsll1,15,10,01,397,0.08473037499999991,257.0
efsll1,15,10,02,228,0.057137415999999996,220.0
efsll1,15,10,03,385,0.06866458299999989,253.0
efsll1,15,25,01,120695,0.992657125,262.0
efsll1,15,25,02,743,0.13670687499999978,247.0
efsll1,15,25,03,1181,0.3170737080000001,293.0
efsll1,15,50,01,392131,6.080682000000001,300.0
efsll1,15,50,02,385785,2.924447958,281.0
efsll1,15,50,03,441604,6.286936500000001,296.0
efsll1,25,10,01,279,0.0634200000000007,299.0
efsll1,25,10,02,394,0.07967237500000124,296.0
efsll1,25,10,03,750,0.12454091700000092,317.0
efsll1,25,25,01,2282,0.4364687079999996,304.0
efsll1,25,25,02,146593,1.742971916000002,317.0
efsll1,25,25,03,23441,0.7108222499999997,308.0
efsll1,25,50,01,97002,9.835208667,322.0
efsll1,25,50,02,2557,6.490008040999999,285.0
efsll1,25,50,03,149360,16.399379500000002,272.0
efsll2,5,10,01,2,0.042116833999997993,135.0
efsll2,5,10,02,2,0.06468845799999912,125.0
efsll2,5,10,03,3,0.035935832999996364,151.0
efsll2,5,25,01,334,0.07783675000000301,150.0
efsll2,5,25,02,146,0.05483025000000197,168.0
efsll2,5,25,03,360,0.070800792,174.0
efsll2,5,50,01,582,0.11719033300000348,183.0
efsll2,5,50,02,431,0.09113720799999925,143.0
efsll2,5,50,03,590,0.11967883400000545,185.0
efsll2,15,10,01,161,0.04766283400000049,257.0
efsll2,15,10,02,137,0.050769082999998716,220.0
efsll2,15,10,03,175,0.08442924999999946,253.0
efsll2,15,25,01,1292,0.2572756660000053,262.0
efsll2,15,25,02,607,0.11988220899999646,247.0
efsll2,15,25,03,891,0.12188125000000127,293.0
efsll2,15,50,01,51817,1.482469082999998,300.0
efsll2,15,50,02,59187,1.2417405839999986,281.0
efsll2,15,50,03,86404,1.6522622079999962,296.0
efsll2,25,10,01,195,0.059512250000004485,299.0
efsll2,25,10,02,261,0.06430050000000165,296.0
efsll2,25,10,03,416,0.08478525000000303,317.0
efsll2,25,25,01,1153,0.22911641600000365,304.0
efsll2,25,25,02,1925,0.31491091699999885,317.0
efsll2,25,25,03,1531,0.3186103329999952,308.0
efsll2,25,50,01,49765,24.539974916,322.0
efsll2,25,50,02,339,23.840555249999994,285.0
efsll2,25,50,03,20966,10.642300042000002,272.0
